"feature" "activityID" "activity" "subjectID" "Mean" "MeanFreq" "StdDev"
"1" "fBodyAcc" 1 "WALKING" 1 -0.148213899237895 -0.0149094029247719 -0.180927154742561
"2" "fBodyAcc" 1 "WALKING" 2 -0.27391978039322 0.0405634992079096 -0.36069773879096
"3" "fBodyAcc" 1 "WALKING" 3 -0.2700968405 -5.84595465517357e-06 -0.308768695724713
"4" "fBodyAcc" 1 "WALKING" 4 -0.402374851313333 -0.0683443887103889 -0.381077568632833
"5" "fBodyAcc" 1 "WALKING" 5 -0.256191106857738 -0.0998945163488095 -0.245991543144643
"6" "fBodyAcc" 1 "WALKING" 6 -0.181890955178363 0.00344624148421053 -0.26466755652848
"7" "fBodyAcc" 1 "WALKING" 7 -0.122873866942865 -0.00955435723508772 -0.110813301081345
"8" "fBodyAcc" 1 "WALKING" 8 -0.0563470711111111 -0.0884611875916667 0.00600691014027778
"9" "fBodyAcc" 1 "WALKING" 9 -0.267731679865385 -0.0885416285589744 -0.158596353892179
"10" "fBodyAcc" 1 "WALKING" 10 -0.157660510915723 0.0798131817704403 -0.257148806401258
"11" "fBodyAcc" 1 "WALKING" 11 -0.365328161877175 -0.10675869096452 -0.351134511659322
"12" "fBodyAcc" 1 "WALKING" 12 -0.182661798267333 0.0194948086913333 -0.273789745031333
"13" "fBodyAcc" 1 "WALKING" 13 -0.162122187314854 -0.0199571087883041 -0.176999783697661
"14" "fBodyAcc" 1 "WALKING" 14 -0.257822150477401 -0.226000107463842 -0.121547256429322
"15" "fBodyAcc" 1 "WALKING" 15 -0.253687320453148 -0.124083397003543 -0.262994139315741
"16" "fBodyAcc" 1 "WALKING" 16 -0.320218049869281 -0.115580017575621 -0.314647494869281
"17" "fBodyAcc" 1 "WALKING" 17 -0.269617079808579 -0.166567482698415 -0.207603887367213
"18" "fBodyAcc" 1 "WALKING" 18 -0.368284159583333 -0.0977643900908274 -0.361734473988095
"19" "fBodyAcc" 1 "WALKING" 19 0.0116178837915385 0.0774963999558974 -0.0597131105916667
"20" "fBodyAcc" 1 "WALKING" 20 -0.00538406098366013 0.00280288685202615 -0.0210156765947712
"21" "fBodyAcc" 1 "WALKING" 21 -0.179986214626282 -0.00706216260091667 -0.158690384978205
"22" "fBodyAcc" 1 "WALKING" 22 -0.0697806174188406 0.132618389926087 -0.0751264595246377
"23" "fBodyAcc" 1 "WALKING" 23 -0.0888109372875706 -0.0138717349536723 -0.138729300365537
"24" "fBodyAcc" 1 "WALKING" 24 -0.346702185810345 -0.117470750786782 -0.320049011482759
"25" "fBodyAcc" 1 "WALKING" 25 -0.464827466851351 -0.218475853352703 -0.397462782562613
"26" "fBodyAcc" 1 "WALKING" 26 -0.269400450610169 -0.0376306229819209 -0.306056360096045
"27" "fBodyAcc" 1 "WALKING" 27 -0.252619503684211 0.0336888290923977 -0.326171038888889
